Original label: antacid_tablets, Prediction: pear, Confidence: 1.000
Original label: antacid_tablets, Prediction: pear, Confidence: 1.000
Original label: arm_and_hammer_deoderant, Prediction: pear, Confidence: 1.000
Original label: arm_and_hammer_deoderant, Prediction: pear, Confidence: 1.000
Original label: bananas, Prediction: pear, Confidence: 1.000
Original label: bananas, Prediction: pear, Confidence: 1.000
Original label: bar_clamp, Prediction: pear, Confidence: 1.000
Original label: bar_clamp, Prediction: pear, Confidence: 1.000
Original label: bar_connector, Prediction: pear, Confidence: 1.000
Original label: bar_connector, Prediction: pear, Confidence: 1.000
Original label: bialetti, Prediction: pear, Confidence: 1.000
Original label: bialetti, Prediction: pear, Confidence: 1.000
Original label: bread, Prediction: pear, Confidence: 1.000
Original label: bread, Prediction: pear, Confidence: 1.000
Original label: brown_climbing_hold, Prediction: pear, Confidence: 1.000
Original label: brown_climbing_hold, Prediction: pear, Confidence: 1.000
Original label: campbells_soup, Prediction: pear, Confidence: 1.000
Original label: campbells_soup, Prediction: pear, Confidence: 1.000
Original label: can_of_corn, Prediction: pear, Confidence: 1.000
Original label: can_of_corn, Prediction: pear, Confidence: 1.000
Original label: candle_lighter, Prediction: pear, Confidence: 1.000
Original label: candle_lighter, Prediction: pear, Confidence: 1.000
Original label: carmex_balm, Prediction: pear, Confidence: 1.000
Original label: carmex_balm, Prediction: pear, Confidence: 1.000
Original label: castle_rexor, Prediction: pear, Confidence: 1.000
Original label: castle_rexor, Prediction: pear, Confidence: 1.000
Original label: chapstick, Prediction: pear, Confidence: 1.000
Original label: chapstick, Prediction: pear, Confidence: 1.000
Original label: chili_powder, Prediction: pear, Confidence: 1.000
Original label: chili_powder, Prediction: pear, Confidence: 1.000
Original label: chubby_slider, Prediction: pear, Confidence: 1.000
Original label: chubby_slider, Prediction: pear, Confidence: 1.000
Original label: clamp, Prediction: pear, Confidence: 1.000
Original label: clamp, Prediction: pear, Confidence: 1.000
Original label: command_hook, Prediction: pear, Confidence: 1.000
Original label: command_hook, Prediction: pear, Confidence: 1.000
Original label: contact_holders, Prediction: pear, Confidence: 1.000
Original label: contact_holders, Prediction: pear, Confidence: 1.000
Original label: crayons, Prediction: pear, Confidence: 1.000
Original label: crayons, Prediction: pear, Confidence: 1.000
Original label: degree_deodorant, Prediction: pear, Confidence: 1.000
Original label: degree_deodorant, Prediction: pear, Confidence: 1.000
Original label: demon_helmet, Prediction: pear, Confidence: 1.000
Original label: demon_helmet, Prediction: pear, Confidence: 1.000
Original label: dice, Prediction: pear, Confidence: 1.000
Original label: dice, Prediction: pear, Confidence: 1.000
Original label: dowel_jig, Prediction: pear, Confidence: 1.000
Original label: dowel_jig, Prediction: pear, Confidence: 1.000
Original label: dr_one, Prediction: pear, Confidence: 1.000
Original label: dr_one, Prediction: pear, Confidence: 1.000
Original label: drumstick, Prediction: pear, Confidence: 1.000
Original label: drumstick, Prediction: pear, Confidence: 1.000
Original label: egg, Prediction: pear, Confidence: 1.000
Original label: egg, Prediction: pear, Confidence: 1.000
