Original label: antacid_tablets, Prediction: mayonnaise, Confidence: 0.064
Original label: arm_and_hammer_deoderant, Prediction: contact_holders, Confidence: 0.111
Original label: arm_and_hammer_deoderant, Prediction: crayons, Confidence: 0.075
Original label: bananas, Prediction: starfruit, Confidence: 0.093
Original label: bar_clamp, Prediction: contact_holders, Confidence: 0.107
Original label: bar_clamp, Prediction: castle_rexor, Confidence: 0.121
Original label: bar_connector, Prediction: chubby_slider, Confidence: 0.062
Original label: bar_connector, Prediction: lighters, Confidence: 0.097
Original label: bialetti, Prediction: scissors, Confidence: 0.435
Original label: bread, Prediction: campbells_soup, Confidence: 0.027
Original label: brown_climbing_hold, Prediction: candle_lighter, Confidence: 0.090
Original label: brown_climbing_hold, Prediction: spray_bottle, Confidence: 0.101
Original label: campbells_soup, Prediction: sunscreen, Confidence: 0.030
Original label: campbells_soup, Prediction: elmers_glue, Confidence: 0.063
Original label: can_of_corn, Prediction: egg, Confidence: 0.033
Original label: can_of_corn, Prediction: campbells_soup, Confidence: 0.037
Original label: carmex_balm, Prediction: mayonnaise, Confidence: 0.100
Original label: carmex_balm, Prediction: lighters, Confidence: 0.055
Original label: castle_rexor, Prediction: yoda, Confidence: 0.310
Original label: castle_rexor, Prediction: yoda, Confidence: 0.227
Original label: chapstick, Prediction: elmers_glue, Confidence: 0.057
Original label: chapstick, Prediction: lighters, Confidence: 0.131
Original label: chili_powder, Prediction: small_watermelon, Confidence: 0.031
Original label: chili_powder, Prediction: orange_juice, Confidence: 0.050
Original label: chubby_slider, Prediction: fan_extruder, Confidence: 0.084
Original label: chubby_slider, Prediction: dr_one, Confidence: 0.037
Original label: command_hook, Prediction: kind_bar, Confidence: 0.037
Original label: command_hook, Prediction: kind_bar, Confidence: 0.055
Original label: contact_holders, Prediction: fan_extruder, Confidence: 0.045
Original label: contact_holders, Prediction: elmers_glue, Confidence: 0.049
Original label: crayons, Prediction: fan_extruder, Confidence: 0.048
Original label: crayons, Prediction: contact_holders, Confidence: 0.236
Original label: degree_deodorant, Prediction: fan_extruder, Confidence: 0.039
Original label: degree_deodorant, Prediction: jergens_ultra, Confidence: 0.065
Original label: demon_helmet, Prediction: mushroom, Confidence: 0.032
Original label: demon_helmet, Prediction: fim_soup, Confidence: 0.032
Original label: dice, Prediction: contact_holders, Confidence: 0.076
Original label: dice, Prediction: elmers_glue, Confidence: 0.070
Original label: dowel_jig, Prediction: fan_extruder, Confidence: 0.058
Original label: dowel_jig, Prediction: fan_extruder, Confidence: 0.060
Original label: dr_one, Prediction: bar_connector, Confidence: 0.068
Original label: dr_one, Prediction: castle_rexor, Confidence: 0.094
Original label: drumstick, Prediction: pomegranate, Confidence: 0.034
Original label: drumstick, Prediction: mango, Confidence: 0.028
Original label: elmers_glue, Prediction: kool_aid_liquid, Confidence: 0.037
Original label: elmers_glue, Prediction: fan_extruder, Confidence: 0.034
Original label: engine_part, Prediction: castle_rexor, Confidence: 0.084
Original label: engine_part, Prediction: elmers_glue, Confidence: 0.075
Original label: fim_soup, Prediction: egg, Confidence: 0.030
Original label: fim_soup, Prediction: fan_extruder, Confidence: 0.034
Original label: glue_sticks, Prediction: bialetti, Confidence: 0.140
Original label: glue_sticks, Prediction: orange_juice, Confidence: 0.054
Original label: gorilla_glue, Prediction: crayons, Confidence: 0.058
Original label: gorilla_glue, Prediction: elmers_glue, Confidence: 0.056
Original label: green_scotch_roll, Prediction: small_watermelon, Confidence: 0.033
Original label: green_scotch_roll, Prediction: castle_rexor, Confidence: 0.056
Original label: hammer, Prediction: utility_knife, Confidence: 0.071
Original label: idler_bearing, Prediction: candle_lighter, Confidence: 0.062
Original label: idler_bearing, Prediction: castle_rexor, Confidence: 0.180
