Original label: antacid_tablets, Prediction: kool_aid_liquid, Confidence: 0.969
Original label: bialetti, Prediction: command_hook, Confidence: 0.869
Original label: bread, Prediction: crayons, Confidence: 0.904
Original label: can_of_corn, Prediction: fim_soup, Confidence: 0.513
Original label: carmex_balm, Prediction: crayons, Confidence: 0.751
Original label: castle_rexor, Prediction: engine_part, Confidence: 0.788
Original label: castle_rexor, Prediction: engine_part, Confidence: 0.583
Original label: chili_powder, Prediction: fim_soup, Confidence: 0.637
Original label: chubby_slider, Prediction: dowel_jig, Confidence: 0.386
Original label: command_hook, Prediction: green_scotch_roll, Confidence: 0.640
Original label: command_hook, Prediction: vaseline, Confidence: 0.549
Original label: contact_holders, Prediction: dice, Confidence: 0.883
Original label: contact_holders, Prediction: dice, Confidence: 0.963
Original label: crayons, Prediction: fim_soup, Confidence: 0.229
Original label: degree_deodorant, Prediction: can_of_corn, Confidence: 0.321
Original label: dowel_jig, Prediction: dr_one, Confidence: 0.465
Original label: elmers_glue, Prediction: uncracked_egg, Confidence: 0.986
Original label: elmers_glue, Prediction: uncracked_egg, Confidence: 0.602
Original label: fan_extruder, Prediction: dr_one, Confidence: 0.532
Original label: fan_extruder, Prediction: dowel_jig, Confidence: 0.376
Original label: fim_soup, Prediction: can_of_corn, Confidence: 0.573
Original label: fim_soup, Prediction: can_of_corn, Confidence: 0.620
Original label: glue_sticks, Prediction: carmex_balm, Confidence: 0.588
Original label: gorilla_glue, Prediction: dice, Confidence: 0.480
Original label: green_scotch_roll, Prediction: jergens_ultra, Confidence: 0.339
Original label: italian_seasoning, Prediction: palm_brush, Confidence: 0.985
Original label: italian_seasoning, Prediction: scotch_tape, Confidence: 0.811
Original label: jergens_ultra, Prediction: playing_cards, Confidence: 0.265
Original label: jergens_ultra, Prediction: neutrogena, Confidence: 0.763
Original label: lighters, Prediction: arm_and_hammer_deoderant, Confidence: 0.969
Original label: lighters, Prediction: mouse_traps, Confidence: 0.427
Original label: mayonnaise, Prediction: crayons, Confidence: 0.580
Original label: mayonnaise, Prediction: pancake, Confidence: 0.574
Original label: mouse_traps, Prediction: neutrogena, Confidence: 0.767
Original label: neutrogena, Prediction: jergens_ultra, Confidence: 0.655
Original label: pear, Prediction: lemon, Confidence: 0.608
Original label: pencils, Prediction: sharpie_pens, Confidence: 0.839
Original label: pipe_connector, Prediction: pawn, Confidence: 0.341
Original label: pomegranate, Prediction: pear, Confidence: 0.680
Original label: scissors, Prediction: sharpie_pens, Confidence: 1.000
Original label: simple_wipes, Prediction: crayons, Confidence: 0.998
Original label: sippy_cups, Prediction: demon_helmet, Confidence: 0.371
Original label: spray_bottle, Prediction: dice, Confidence: 0.767
Original label: sunscreen, Prediction: kool_aid_liquid, Confidence: 0.781
Original label: take_and_toss, Prediction: small_watermelon, Confidence: 0.364
Original label: vaseline, Prediction: kool_aid_liquid, Confidence: 0.630
Original label: vaseline, Prediction: playing_cards, Confidence: 0.260
Original label: yoda, Prediction: fan_extruder, Confidence: 0.431
Original label: yoda, Prediction: pawn, Confidence: 0.847
