Original label: dasani, Prediction: climbing_hold, Confidence: 0.677
Original label: dasani, Prediction: spray_bottle, Confidence: 1.000
Original label: dasani, Prediction: wipes, Confidence: 1.000
Original label: dasani, Prediction: spray_bottle, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.659
Original label: dasani, Prediction: spray_bottle, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: wipes, Confidence: 0.837
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: spray_bottle, Confidence: 0.883
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: glue, Prediction: climbing_hold, Confidence: 1.000
Original label: glue, Prediction: climbing_hold, Confidence: 0.945
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 0.951
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: wipes, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: dasani, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: wipes, Confidence: 0.967
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: wipes, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 0.988
Original label: watermelon, Prediction: spray_bottle, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 0.725
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: climbing_hold, Confidence: 0.806
Original label: zoink, Prediction: glue, Confidence: 0.908
Original label: zoink, Prediction: dasani, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 0.908
Original label: zoink, Prediction: glue, Confidence: 0.908
Original label: zoink, Prediction: dasani, Confidence: 1.000
