Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.999
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.662
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: glue, Prediction: climbing_hold, Confidence: 0.956
Original label: glue, Prediction: climbing_hold, Confidence: 0.969
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 0.999
Original label: spray_bottle, Prediction: watermelon, Confidence: 0.721
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 0.991
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 0.984
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: watermelon, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 0.417
Original label: spray_bottle, Prediction: watermelon, Confidence: 0.999
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 0.857
Original label: spray_bottle, Prediction: watermelon, Confidence: 0.999
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: watermelon, Confidence: 0.609
Original label: spray_bottle, Prediction: watermelon, Confidence: 0.999
Original label: spray_bottle, Prediction: watermelon, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 0.998
Original label: toothbrushes, Prediction: glue, Confidence: 0.993
Original label: toothbrushes, Prediction: wipes, Confidence: 0.908
Original label: toothbrushes, Prediction: wipes, Confidence: 0.936
Original label: toothbrushes, Prediction: wipes, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 0.994
Original label: toothbrushes, Prediction: wipes, Confidence: 0.856
Original label: toothbrushes, Prediction: glue, Confidence: 0.981
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 0.936
Original label: toothbrushes, Prediction: wipes, Confidence: 0.995
Original label: toothbrushes, Prediction: wipes, Confidence: 0.936
Original label: toothbrushes, Prediction: glue, Confidence: 0.982
Original label: toothbrushes, Prediction: wipes, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 0.735
Original label: toothbrushes, Prediction: glue, Confidence: 0.999
Original label: toothbrushes, Prediction: glue, Confidence: 0.971
Original label: toothbrushes, Prediction: glue, Confidence: 0.997
Original label: toothbrushes, Prediction: glue, Confidence: 0.954
Original label: toothpaste, Prediction: glue, Confidence: 0.850
Original label: toothpaste, Prediction: glue, Confidence: 0.979
Original label: watermelon, Prediction: climbing_hold, Confidence: 0.765
Original label: wipes, Prediction: toothpaste, Confidence: 0.891
Original label: zoink, Prediction: wipes, Confidence: 1.000
Original label: zoink, Prediction: climbing_hold, Confidence: 1.000
Original label: zoink, Prediction: climbing_hold, Confidence: 1.000
Original label: zoink, Prediction: wipes, Confidence: 1.000
Original label: zoink, Prediction: climbing_hold, Confidence: 0.972
Original label: zoink, Prediction: wipes, Confidence: 0.948
