Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.957
Original label: climbing_hold, Prediction: clip, Confidence: 0.955
Original label: climbing_hold, Prediction: clip, Confidence: 0.957
Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.952
Original label: climbing_hold, Prediction: clip, Confidence: 0.961
Original label: climbing_hold, Prediction: clip, Confidence: 0.953
Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.956
Original label: climbing_hold, Prediction: clip, Confidence: 0.958
Original label: climbing_hold, Prediction: clip, Confidence: 0.954
Original label: climbing_hold, Prediction: clip, Confidence: 0.957
Original label: climbing_hold, Prediction: clip, Confidence: 0.951
Original label: climbing_hold, Prediction: clip, Confidence: 0.951
Original label: climbing_hold, Prediction: clip, Confidence: 0.951
Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: climbing_hold, Prediction: clip, Confidence: 0.961
Original label: dasani, Prediction: clip, Confidence: 0.966
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: dasani, Prediction: clip, Confidence: 0.966
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: dasani, Prediction: clip, Confidence: 0.976
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: dasani, Prediction: clip, Confidence: 0.959
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: dasani, Prediction: clip, Confidence: 0.966
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: dasani, Prediction: clip, Confidence: 0.965
Original label: dasani, Prediction: clip, Confidence: 0.961
Original label: dasani, Prediction: clip, Confidence: 0.961
Original label: dasani, Prediction: clip, Confidence: 0.965
Original label: dasani, Prediction: clip, Confidence: 0.963
Original label: dasani, Prediction: clip, Confidence: 0.967
Original label: dasani, Prediction: clip, Confidence: 0.968
Original label: dasani, Prediction: clip, Confidence: 0.962
Original label: dasani, Prediction: clip, Confidence: 0.961
Original label: dasani, Prediction: clip, Confidence: 0.960
Original label: glue, Prediction: clip, Confidence: 0.982
Original label: glue, Prediction: clip, Confidence: 0.984
Original label: glue, Prediction: clip, Confidence: 0.972
Original label: glue, Prediction: clip, Confidence: 0.971
Original label: glue, Prediction: clip, Confidence: 0.984
Original label: glue, Prediction: clip, Confidence: 0.982
Original label: glue, Prediction: clip, Confidence: 0.987
Original label: glue, Prediction: clip, Confidence: 0.965
Original label: glue, Prediction: clip, Confidence: 0.977
Original label: glue, Prediction: clip, Confidence: 0.977
Original label: glue, Prediction: clip, Confidence: 0.989
Original label: glue, Prediction: clip, Confidence: 0.987
