Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.932
Original label: dasani, Prediction: wipes, Confidence: 0.991
Original label: dasani, Prediction: climbing_hold, Confidence: 0.981
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.859
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: wipes, Confidence: 0.736
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.976
Original label: dasani, Prediction: climbing_hold, Confidence: 1.000
Original label: dasani, Prediction: climbing_hold, Confidence: 0.994
Original label: glue, Prediction: climbing_hold, Confidence: 0.978
Original label: glue, Prediction: climbing_hold, Confidence: 0.999
Original label: glue, Prediction: climbing_hold, Confidence: 0.965
Original label: glue, Prediction: spray_bottle, Confidence: 0.863
Original label: glue, Prediction: climbing_hold, Confidence: 0.972
Original label: glue, Prediction: climbing_hold, Confidence: 1.000
Original label: glue, Prediction: climbing_hold, Confidence: 1.000
Original label: glue, Prediction: climbing_hold, Confidence: 0.969
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: spray_bottle, Prediction: climbing_hold, Confidence: 1.000
Original label: toothbrushes, Prediction: toothpaste, Confidence: 0.975
Original label: toothbrushes, Prediction: glue, Confidence: 0.922
Original label: toothbrushes, Prediction: wipes, Confidence: 0.910
Original label: toothbrushes, Prediction: wipes, Confidence: 0.958
Original label: toothbrushes, Prediction: glue, Confidence: 0.922
Original label: toothbrushes, Prediction: wipes, Confidence: 0.571
Original label: toothbrushes, Prediction: glue, Confidence: 0.922
Original label: toothbrushes, Prediction: toothpaste, Confidence: 1.000
Original label: toothbrushes, Prediction: wipes, Confidence: 0.996
Original label: toothbrushes, Prediction: toothpaste, Confidence: 0.999
Original label: toothpaste, Prediction: dasani, Confidence: 0.981
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 0.989
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: watermelon, Prediction: climbing_hold, Confidence: 0.997
Original label: watermelon, Prediction: climbing_hold, Confidence: 1.000
Original label: wipes, Prediction: toothbrushes, Confidence: 0.683
Original label: zoink, Prediction: climbing_hold, Confidence: 0.998
Original label: zoink, Prediction: climbing_hold, Confidence: 0.976
Original label: zoink, Prediction: climbing_hold, Confidence: 0.994
Original label: zoink, Prediction: climbing_hold, Confidence: 0.979
Original label: zoink, Prediction: climbing_hold, Confidence: 0.998
Original label: zoink, Prediction: climbing_hold, Confidence: 0.976
Original label: zoink, Prediction: climbing_hold, Confidence: 0.976
Original label: zoink, Prediction: climbing_hold, Confidence: 1.000
Original label: zoink, Prediction: climbing_hold, Confidence: 0.989
